"y","ind","cluster","period","period1","period2","treatment"
-0.612354567566173,1,1,1,1,0,1
-0.716552225583636,2,1,1,1,0,1
0.00940272516126067,3,1,1,1,0,1
1.48272725775683,4,1,1,1,0,1
1.00902022510471,5,1,1,1,0,1
0.908986320673414,6,1,1,1,0,1
0.832237574929233,7,1,1,1,0,1
-0.518300778471652,8,1,1,1,0,1
0.216234239352384,9,1,1,1,0,1
-0.227961793399137,10,1,1,1,0,1
0.739792317998858,11,1,1,1,0,1
0.634419308274101,12,1,1,1,0,1
1.15226088275296,13,1,1,1,0,1
0.514593093064731,14,1,1,1,0,1
0.0178369833555839,15,1,1,1,0,1
0.218354309880557,16,1,1,1,0,1
-0.12937770152374,17,1,1,1,0,1
0.0229098178963472,18,1,1,1,0,1
-0.474824829502239,19,1,1,1,0,1
-0.893255871765721,20,1,1,1,0,1
-1.07811280660263,21,1,1,1,0,1
-0.550409644510717,22,1,1,1,0,1
-1.62320406093948,23,1,1,1,0,1
-0.70878949932287,24,1,1,1,0,1
0.153252535757628,25,1,1,1,0,1
0.523814882333748,26,1,1,1,0,1
0.600191123004114,27,1,1,1,0,1
-0.570172609659389,28,1,1,1,0,1
-0.81655234851774,29,1,1,1,0,1
-1.6179404423417,30,1,1,1,0,1
1.31271405435629,31,1,1,1,0,1
1.325765456538,32,1,1,1,0,1
-1.23913389338364,33,1,1,1,0,1
-0.917898197649411,34,1,1,1,0,1
0.0347376353260228,35,1,1,1,0,1
-0.913403621033099,36,1,1,1,0,1
-0.762364601340416,37,1,1,1,0,1
-1.23608902182276,38,1,1,1,0,1
-1.27860226462414,39,1,1,1,0,1
0.180564033283114,40,1,1,1,0,1
0.661479192207361,41,1,1,1,0,1
0.690296821562604,42,1,1,1,0,1
1.29004283384362,43,1,1,1,0,1
0.649595003373316,44,1,1,1,0,1
2.07794804402129,45,1,1,1,0,1
0.479676070464752,46,1,1,1,0,1
-1.13008663974405,47,1,1,1,0,1
0.141605560823532,48,1,1,1,0,1
0.591078906756023,49,1,1,1,0,1
-0.0398823072541084,50,1,1,1,0,1
1.15327079227966,51,1,1,1,0,1
0.472883093613753,52,1,1,1,0,1
-0.0420678444904368,53,1,1,1,0,1
0.373675928402865,54,1,1,1,0,1
-0.994656831926124,55,1,1,1,0,1
-0.778995163456705,56,1,1,1,0,1
0.605014131107752,57,1,1,1,0,1
0.607427708545386,58,1,1,1,0,1
0.658803069717069,59,1,1,1,0,1
